model_name,training_time,avg_inference_time,recall@10,precision@10,ndcg@10,hit_rate@10,coverage@10,diversity@10,recall@20,precision@20,ndcg@20,hit_rate@20,coverage@20,diversity@20,mrr
Content-Based Filtering,0.0650711059570312,0.0933729791641235,0.0185642135642135,0.01,0.0197230046591439,0.1,0.0415584415584415,0.0999999999999999,0.0342943722943722,0.012,0.0277376363096637,0.22,0.1376623376623376,0.0499999999999999,0.0578161703277802
GNN (GraphSAGE),2.4776699542999268,0.0016405534744262,0.013070929070929,0.012,0.0139604461879085,0.1,0.1246753246753246,0.6580000000000001,0.0353645798645798,0.015,0.0241690431278149,0.26,0.1922077922077922,0.489,0.0478899208806329
Hybrid (GNN + Content-Based),2.542741060256958,0.07132354736328125,0.0201026751026751,0.012,0.013536708024281242,0.12,0.05584415584415584,0.18599999999999994,0.036000222000221994,0.013000000000000003,0.021327779512997733,0.24,0.17662337662337663,0.309,0.030509702286018077
